"order_id","tracking","buyer_country","amazon_ship_option","amazon_carrier_name","bl_package","bl_tracking_status_date","dhl_file_delivery_date","dhl_last_event","dhl_source_file","notes"
"304-9848650-6029108","JJD000030206530000003142701","AT","Pri Intl","DHL","No","","2026-02-03 09:12:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"306-8367617-9550723","JJD000030206530000003120796","AT","Pri Intl","DHL","No","","2026-01-29 09:46:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"302-3891682-8088318","JJD000030206530000003120612","AT","Pri Intl","DHL","No","","2026-01-29 10:29:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"303-3893839-9148336","JJD000030206530000003143982","AT","Pri Intl","DHL","No","","2026-02-03 12:57:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"304-4840998-3277920","JJD000030206530000003163068","AT","Pri Intl","DHL","No","","2026-02-06 13:44:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"028-7415791-3161943","JJD000030206530000003131002","AT","Pri Intl","DHL","No","","2026-01-30 13:00:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"028-3818870-3665903","JJD000030206530000003138043","AT","Pri Intl","DHL","No","","2026-01-31 08:43:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"303-8498531-3276313","JJD000030206530000003157864","AT","Std DE Intl_1","DHL","No","","2026-02-05 11:18:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"028-8962236-3762726","JJD000030206530000003149179","AT","Pri Intl","DHL","No","","2026-02-05 11:27:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-4330171-0923554","JJD000030206530000003160127","AT","Std DE Intl_1","DHL","No","","2026-02-06 13:18:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"306-2453896-0717124","JJD000030206530000003154990","AT","Std DE Intl_1","DHL","No","","2026-02-04 13:01:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-0159186-0958754","JJD000030206530000003149382","AT","Pri Intl","DHL","No","","2026-02-06 11:59:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"306-7189138-0245966","JJD000030206530000003171382","AT","Std DE Intl_1","DHL","No","","2026-02-07 11:54:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-3234234-6562767","JJD000030206530000003121275","AT","Pri Intl","DHL","No","","2026-01-29 13:06:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"303-9970804-8697136","JJD000030206530000003158630","AT","Std DE Intl_1","DHL","No","","2026-02-05 12:40:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"304-0907511-9809154","JJD000030206530000003166296","AT","Pri Intl","DHL","No","","2026-02-06 15:13:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"028-0077211-3015514","JJD000030206530000003146496","AT","Pri Intl","DHL","No","","2026-02-04 12:22:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-8245723-0129114","JJD000030206530000003131940","AT","Pri Intl","DHL","No","","2026-02-02 09:42:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"305-5924887-0337901","JJD000030206530000003151582","AT","Pri Intl","DHL","No","","2026-02-05 11:34:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"306-8735026-9218758","JJD000030206530000003170392","AT","Pri Intl","DHL","No","","2026-02-07 14:22:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"305-5918565-2104332","JJD000030206530000003121540","AT","Pri Intl","DHL","No","","2026-01-29 13:29:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"306-4071295-2141149","JJD000030206530000003138065","AT","Pri Intl","DHL","No","","2026-02-02 10:06:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"304-4673689-4332339","JJD000030206530000003142329","AT","Pri Intl","DHL","No","","2026-02-03 13:23:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"028-2526187-5807562","JJD000030206530000003133357","AT","Pri Intl","DHL","No","","2026-01-30 09:40:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"303-2637292-2425141","JJD000030206530000003167837","AT","Pri Intl","DHL","No","","2026-02-07 12:42:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"305-1274940-8725943","JJD000030206530000003090157","AT","Std DE Intl_1","DHL eCommerce","No","","2026-01-20 11:36:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_18.01.2026 31.01.xlsx","BL has no package"
"028-0591458-0929126","JJD000030206530000003171371","AT","Pri Intl","DHL","No","","2026-02-09 09:38:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"306-4935506-5785901","JJD000030206530000003163877","AT","Pri Intl","DHL","No","","2026-02-06 15:09:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"028-0794932-7206719","JJD000030206530000003151868","AT","Pri Intl","DHL","No","","2026-02-04 10:38:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-7174550-7327560","JJD000030206530000003135742","AT","Pri Intl","DHL","No","","2026-01-30 11:01:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"303-2527507-1010750","JJD000030206530000003167900","AT","Pri Intl","DHL","No","","2026-02-07 09:30:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"305-8055307-2853943","JJD000030206530000003169828","AT","Pri Intl","DHL","No","","2026-02-09 14:18:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"305-7842850-5470753","JJD000030206530000003144472","AT","Pri Intl","DHL","No","","2026-02-03 10:32:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"306-0533701-7857142","JJD000030206530000003166049","AT","Pri Intl","DHL","No","","2026-02-09 11:01:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-7404594-6862749","JJD000030206530000003166230","AT","Pri Intl","DHL","No","","2026-02-07 14:48:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-6991392-3704335","JJD000030206530000003158292","AT","Std DE Intl_1","DHL","No","","2026-02-05 10:25:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"304-9056379-0489143","JJD000030206530000003131951","AT","Pri Intl","DHL","No","","2026-01-30 11:39:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"028-1036302-2628317","JJD000030206530000003119924","AT","Std DE Intl_1","DHL","No","","2026-01-29 14:24:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"028-3933899-3342762","JJD000030206530000003133784","AT","Pri Intl","DHL","No","","2026-01-30 16:00:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"305-1860997-8524357","JJD000030206530000003168872","AT","Pri Intl","DHL","No","","2026-02-10 12:53:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"305-1390925-4369951","JJD000030206530000003140170","AT","Pri Intl","DHL eCommerce","No","","2026-02-04 11:16:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"303-3917036-4202751","JJD000030206530000003158118","AT","Std DE Intl_1","DHL","No","","2026-02-05 13:23:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-6275043-3029958","JJD000030206530000003156492","AT","Std DE Intl_1","DHL","No","","2026-02-05 16:05:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-3300108-2341107","JJD000030206530000003137200","AT","Pri Intl","DHL","No","","2026-02-02 09:45:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"305-0671473-5931560","JJD000030206530000003161779","AT","Pri Intl","DHL","No","","2026-02-06 12:37:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"028-5022532-9913939","JJD000030206530000003159035","AT","Std DE Intl_1","DHL","No","","2026-02-05 12:24:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"304-4744937-0337958","JJD000030206530000003148549","AT","Std DE Intl_1","DHL","No","","2026-02-05 18:26:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"028-6291012-0502749","JJD000030206530000003149180","AT","Pri Intl","DHL","No","","2026-02-05 13:40:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"305-7260527-1690764","JJD000030206530000003120785","AT","Pri Intl","DHL","No","","2026-01-29 10:13:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"303-5312365-9451506","JJD000030206530000003160649","AT","Std DE Intl_1","DHL","No","","2026-02-06 09:19:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"306-4473966-3958725","JJD000030206530000003161195","AT","Std DE Intl_1","DHL","No","","2026-02-05 11:16:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"028-2238367-2392330","JJD000030206530000003168030","AT","Pri Intl","DHL","No","","2026-02-07 09:54:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-5495444-2331500","JJD000030206530000003151920","AT","Pri Intl","DHL","No","","2026-02-04 13:49:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"306-3851084-2979549","JJD000030206530000003154456","AT","Std DE Intl_1","DHL","No","","2026-02-05 09:06:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"304-2796555-1495568","JJD000030206530000003137384","AT","Pri Intl","DHL","No","","2026-02-02 10:27:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"306-5597359-5701139","JJD000030206530000003163388","AT","Pri Intl","DHL","No","","2026-02-06 12:27:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-3882478-5404309","JJD000030206530000003150801","AT","Pri Intl","DHL","No","","2026-02-05 13:35:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-0622160-4860354","JJD000030206530000003137615","AT","Pri Intl","DHL","No","","2026-02-02 09:16:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"303-6516960-0978759","JJD000030206530000003153859","AT","Pri Intl","DHL","No","","2026-02-05 10:28:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"305-9900649-7496309","JJD000030206530000003169586","AT","Pri Intl","DHL","No","","2026-02-09 10:51:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"302-4346279-3898765","JJD000030206530000003165802","AT","Pri Intl","DHL","No","","2026-02-06 09:20:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"304-1969107-7759526","JJD000030206530000003092980","AT","Std DE Intl_1","DHL","No","","2026-01-20 11:53:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_18.01.2026 31.01.xlsx","BL has no package"
"302-7038090-9218722","JJD000030206530000003162398","AT","Pri Intl","DHL","No","","2026-02-11 12:37:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"028-8884944-1639553","JJD000030206530000003161599","AT","Pri Intl","DHL","No","","2026-02-06 15:30:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-8827654-0515510","JJD000030206530000003164514","AT","Pri Intl","DHL","No","","2026-02-06 10:57:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"304-6986362-8764338","JJD000030206530000003138032","AT","Pri Intl","DHL","No","","2026-02-02 14:17:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"306-1989927-3157163","JJD000030206530000003143184","AT","Pri Intl","DHL","No","","2026-02-03 11:30:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"302-2731161-0551525","JJD000030206530000003158309","AT","Std DE Intl_1","DHL","No","","2026-02-05 12:53:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","BL has no package"
"303-0251615-3108302","JJD000030206530000003134230","AT","Pri Intl","DHL","No","","2026-01-30 14:31:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
"306-0512976-9008346","JJD000030206530000003137648","AT","Pri Intl","DHL","No","","2026-01-31 07:08:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","BL has no package"
